type,extension,mime_type
Document,doc,application/msword
Document,dot,application/msword
Document,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
Document,dotx,application/vnd.openxmlformats-officedocument.wordprocessingml.template
Document,docm,application/vnd.ms-word.document.macroEnabled.12
Document,dotm,application/vnd.ms-word.template.macroEnabled.12
Document,xls,application/vnd.ms-excel
Document,xlt,application/vnd.ms-excel
Document,xla,application/vnd.ms-excel
Document,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
Document,xltx,application/vnd.openxmlformats-officedocument.spreadsheetml.template
Document,xlsm,application/vnd.ms-excel.sheet.macroEnabled.12
Document,xltm,application/vnd.ms-excel.template.macroEnabled.12
Document,xlam,application/vnd.ms-excel.addin.macroEnabled.12
Document,xlsb,application/vnd.ms-excel.sheet.binary.macroEnabled.12
Document,ppt,application/vnd.ms-powerpoint
Document,pot,application/vnd.ms-powerpoint
Document,pps,application/vnd.ms-powerpoint
Document,ppa,application/vnd.ms-powerpoint
Document,pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation
Document,potx,application/vnd.openxmlformats-officedocument.presentationml.template
Document,ppsx,application/vnd.openxmlformats-officedocument.presentationml.slideshow
Document,ppam,application/vnd.ms-powerpoint.addin.macroEnabled.12
Document,pptm,application/vnd.ms-powerpoint.presentation.macroEnabled.12
Document,potm,application/vnd.ms-powerpoint.template.macroEnabled.12
Document,ppsm,application/vnd.ms-powerpoint.slideshow.macroEnabled.12